,AN (1),AW (1),atomic radius (1),electronegativity (1),m. p. (1),b. p. (1),delta_fus H (1),density (1),ionization enegy (1),Surface energy (1),AN (2),AW (2),atomic radius (2),electronegativity (2),m. p. (2),b. p. (2),delta_fus H (2),density (2),ionization enegy (2),Surface energy (2),AN (3),AW (3),atomic radius (3),electronegativity (3),m. p. (3),b. p. (3),delta_fus H (3),density (3),ionization enegy (3),Surface energy (3),AN (4),AW (4),atomic radius (4),electronegativity (4),m. p. (4),b. p. (4),delta_fus H (4),density (4),ionization enegy (4),Surface energy (4)
count,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
mean,3669.213186730074,8637.592428077573,154.40587731900186,109.0161525805037,126212.76786552551,319755.92944119935,1026.504956976664,511.0070997426486,515.242091760273,109.71387482687483,891.677359096924,2150.5952831945647,29.581325768465668,20.25454919009155,20135.275933874713,58733.95157848766,138.19234642409145,123.41960580521928,95.01377400264599,16.73421000709739,43.36569333534228,107.7213034318989,0.9992121204589761,1.4140473681254444,877.3282693640604,1917.747903544144,8.94929067527699,10.875807252996207,5.187695169613415,0.5559327931474407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std,1615.5503595694552,4086.204847473239,32.717017550944114,28.848143933239612,40717.526786970695,64567.15061578058,654.0766845575308,140.9026602786111,110.7464786567416,38.074321830490625,957.9687436259544,2308.4793055989076,32.41789959722535,19.195332941087454,22157.07943784882,65697.87657294246,174.55167336896866,112.29564703296914,95.74076110893657,19.297072216653376,82.1010580248047,204.79049926617418,1.8229783441072263,2.6164013622033973,1552.447850003228,3446.918525277017,15.94018315609826,20.414187338034232,9.581686551246062,0.9940489167514271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,1234.369062211411,2561.932988619784,101.26361261052006,65.720354229988,62669.05206930997,121993.98960918446,320.38672687119146,214.6791754102673,325.00475533360225,35.70960893938006,0.9853921553716738,2.4642822044494075,0.022360821987280288,0.028803770695479687,25.789481358663267,51.770987855296404,0.2800787703152565,0.2716145043652691,0.11317860566081732,0.01869718448653945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2286.8422693902435,5215.372479571389,118.84109437909115,77.49259529694939,102076.3929074704,270103.8853800509,536.3562544434017,376.92427884164863,386.52490822588913,90.12392655543663,94.06513846717135,226.24544218339318,2.193437357839181,3.118785959787816,1813.5540623113588,3944.4054555625266,19.69554891811641,22.69814367754654,11.57799462434875,1.3148133693645592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,3949.5761526933534,9007.403373832458,170.0057464835869,109.1271099967323,117586.14744280506,322032.5395510455,1047.1599104730376,525.6315246444967,537.5742019550567,94.75797464464912,299.6863821754855,747.1925033342529,7.7624673642113216,9.635486211718142,7565.432669155135,14864.932862227874,66.92694491345011,65.73243912884787,38.62962703478943,5.254018395058481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,5388.1985582251455,13072.277391056043,181.7401551821825,132.16595408358162,124143.06319230716,356898.36960911844,1218.981121614025,651.9176313223971,571.5326927606383,105.06009335480259,1988.2252099185957,4832.81396346744,75.28135081983002,45.57573671254575,43755.73965738416,147836.29596132025,223.6950735293235,275.4890513785131,225.38422583015813,41.50647450606844,50.99892470596716,125.54400597910595,1.8127132056006496,2.39550732767264,1393.215948991906,3259.7584024853063,13.251558606459923,14.024704294140966,8.533844498942369,0.9237152381925317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,5813.192152922336,14371.373640454598,205.97397554051201,189.4107796072511,212773.11648068426,468140.8512042122,5005.42907583162,777.2553027466853,812.6420274339099,241.96639030868863,2408.342681352792,5818.0576403522045,83.64669292050142,54.00490368168296,86407.84589069274,190113.50303581925,852.7090055002573,327.2198778371275,269.37077483753126,63.75014945882875,547.2914745129772,1364.5334296684525,12.054267919652913,17.59646006661977,9264.674779878982,21676.89903482412,88.12085513677303,133.70538554557544,63.91186706480342,5.126527735944342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
